sample_id,true_label,pred_ens,ai_correct,ai_error,risk_1_inv_conf,risk_2_margin,risk_3_entropy,risk_4_disagreement,risk_5_missing_fraction,risk_6_critical_missing,risk_7_multimodal_mismatch
48,1,1,1,0,0.2549548263204716,0.5154232346271935,0.650237077440159,0.0,0.0,0,0
49,1,1,1,0,0.2911546082672084,0.4837453123074946,0.7590861895854064,0.0,0.0,0,0
50,0,0,1,0,0.20326260537731855,0.6389387193905123,0.6129292712153649,0.0,0.0,0,0
51,0,0,1,0,0.07744407713499657,0.8538364259275733,0.2997450156273509,0.0,0.0,0,0
52,2,2,1,0,0.07646363384055799,0.8732512112204626,0.319181134561135,0.0,0.0,0,0
53,1,1,1,0,0.551775493110521,0.0635588683388741,1.0261617646521104,0.3333333333333333,0.0,0,0
54,2,2,1,0,0.16282993064991602,0.6924907628949052,0.5012545276363112,0.0,0.0,0,0
55,1,1,1,0,0.45346152478310764,0.1092971116991795,0.758759539272649,0.3333333333333333,0.0,0,0
56,2,1,0,1,0.42726774999090267,0.2976349842816557,0.96075334340183,0.0,0.0,0,0
57,0,0,1,0,0.08580256974421197,0.8390106916256764,0.3248315645839743,0.0,0.0,0,0
58,0,0,1,0,0.17439768416349155,0.6656734089131455,0.512660186269588,0.0,0.0,0,0
59,0,0,1,0,0.07406934639793239,0.8624115084510899,0.2943614331768657,0.0,0.0,0,0
60,2,1,0,1,0.3163875264796415,0.3791743813905456,0.6749871255412062,0.0,0.0,0,0
61,2,1,0,1,0.4114329337894216,0.208655947178399,0.7886365793963126,0.3333333333333333,0.0,0,0
62,1,1,1,0,0.23565708543176755,0.5804076641387015,0.6700360976931101,0.0,0.0,0,0
63,1,1,1,0,0.3361231232701579,0.4003189669539511,0.8137707624744082,0.0,0.0,0,0
64,2,2,1,0,0.441258922242158,0.2217813835369161,0.9275354618894028,0.3333333333333333,0.0,0,0
65,1,1,1,0,0.24443338650860014,0.591614434727049,0.7110219374135875,0.0,0.0,0,0
66,2,2,1,0,0.08160131506652124,0.8628550314507414,0.3337750305692281,0.0,0.0,0,0
67,1,1,1,0,0.39434646423155295,0.3003068242248717,0.8812395669416412,0.3333333333333333,0.0,0,0
68,0,0,1,0,0.38281896924589376,0.252021670565331,0.7369990361685862,0.3333333333333333,0.0,0,0
69,0,0,1,0,0.1700658084234612,0.6742045722113508,0.5051638846410266,0.0,0.0,0,0
70,0,0,1,0,0.17535345791884838,0.6674284554698884,0.5225856381043341,0.0,0.0,0,0
71,0,0,1,0,0.27581620448758226,0.4905087466272734,0.7068734803287249,0.0,0.0,0,0
72,2,1,0,1,0.5075532478919519,0.0667373584523769,0.9172395120640832,0.3333333333333333,0.0,0,0
73,1,2,0,1,0.30455238796376705,0.4072780100309954,0.6784868326077387,0.0,0.0,0,0
74,2,2,1,0,0.134324715195132,0.7499606088046242,0.4485665298808006,0.0,0.0,0,0
75,2,2,1,0,0.30093948614383415,0.4461150275881096,0.7437127064349602,0.3333333333333333,0.0,0,0
76,2,1,0,1,0.4198275546862983,0.1993575271447875,0.8100697892455629,0.0,0.0,0,0
77,0,0,1,0,0.27494705302312017,0.4805807925940971,0.6838722525341265,0.0,0.0,0,0
78,1,0,0,1,0.16616907982135787,0.680257434962818,0.4943575343401872,0.0,0.0,0,0
79,0,0,1,0,0.16728204228289645,0.6863806964413596,0.5146442700869833,0.0,0.0,0,0
80,1,1,1,0,0.5335018503622992,0.0206029274962596,0.9291554204066932,0.3333333333333333,0.0,0,0
81,2,1,0,1,0.4652441195555225,0.0908598595596616,0.7773662308104466,0.3333333333333333,0.0,0,0
82,2,2,1,0,0.07779481018866918,0.8626891113355053,0.3157640756148419,0.0,0.0,0,0
83,2,2,1,0,0.04686211789525763,0.919058570408206,0.2166313318234153,0.0,0.0,0,0
84,1,0,0,1,0.3926658081726019,0.2439272999014168,0.7740450680838763,0.0,0.0,0,0
85,2,2,1,0,0.03987870965465001,0.9276309861487108,0.1866722417458617,0.0,0.0,0,0
86,1,2,0,1,0.49903774508293297,0.1144314633697927,0.9594902952398828,0.3333333333333333,0.0,0,0
87,0,0,1,0,0.23485483630858728,0.5446436351658774,0.5990991422862328,0.0,0.0,0,0
88,0,0,1,0,0.2533968574690654,0.5198104219386478,0.6511550298302007,0.0,0.0,0,0
89,0,0,1,0,0.21696403695369282,0.6137141332210104,0.637244701070587,0.0,0.0,0,0
90,1,2,0,1,0.45955567733767566,0.1112024525237546,0.8015762281727382,0.3333333333333333,0.0,0,0
91,0,0,1,0,0.1411995109364802,0.7295488845478829,0.4480692173146232,0.0,0.0,0,0
92,0,1,0,1,0.4277942202415882,0.2736893660425312,0.9447986593431794,0.0,0.0,0,0
93,1,0,0,1,0.5088431166318007,0.0406595970837246,0.8742183973389193,0.3333333333333333,0.0,0,0
94,0,0,1,0,0.1154264450355077,0.7801395776597093,0.3940118920487903,0.0,0.0,0,0
95,2,2,1,0,0.24555308717271496,0.5752414086066796,0.7006656690950741,0.0,0.0,0,0
96,0,0,1,0,0.13744849604762044,0.7603720185530619,0.4785771606887667,0.0,0.0,0,0
97,1,2,0,1,0.35840604464089465,0.3597437878695478,0.8383967636952909,0.3333333333333333,0.0,0,0
98,1,1,1,0,0.3929118956569746,0.3574054423600689,0.9277757882804972,0.0,0.0,0,0
99,0,0,1,0,0.4768351637789813,0.0816705292127716,0.818032678163704,0.3333333333333333,0.0,0,0
100,2,2,1,0,0.054132374643851566,0.9157358010731604,0.2476813311546813,0.0,0.0,0,0
101,1,1,1,0,0.3053661368459072,0.4392120999544093,0.7513891888261566,0.0,0.0,0,0
102,2,2,1,0,0.5052679927318842,0.0806640319061913,0.9316530605772592,0.3333333333333333,0.0,0,0
103,0,0,1,0,0.3202494877900026,0.3983868272565421,0.7454701820878091,0.0,0.0,0,0
104,1,1,1,0,0.24263256172281622,0.5602864433668144,0.6712694469019342,0.0,0.0,0,0
105,0,0,1,0,0.323416998496454,0.4193433751084146,0.7933066243018465,0.0,0.0,0,0
106,1,1,1,0,0.552610835739449,0.0703636128891233,1.0330670984826833,0.3333333333333333,0.0,0,0
107,2,2,1,0,0.05343101914025161,0.9010697557780516,0.2309379784570484,0.0,0.0,0,0
108,0,0,1,0,0.1361308684104272,0.740413687719987,0.4400342221767879,0.0,0.0,0,0
109,0,1,0,1,0.33344072554231086,0.4033814496354862,0.8082806271007978,0.0,0.0,0,0
110,2,2,1,0,0.04783682628502839,0.9123124374777832,0.213670769091883,0.0,0.0,0,0
111,0,0,1,0,0.4410040713401667,0.1392729137564648,0.7714369201110899,0.3333333333333333,0.0,0,0
112,0,0,1,0,0.370722826701962,0.3422586572152628,0.8573553306805006,0.3333333333333333,0.0,0,0
113,1,1,1,0,0.4940131851543722,0.0345154319210178,0.7846857952080442,0.3333333333333333,0.0,0,0
114,0,0,1,0,0.19001981604666796,0.6390468963846588,0.5482095350547551,0.0,0.0,0,0
115,2,2,1,0,0.2614741381753962,0.4923788042139148,0.6329405148068914,0.0,0.0,0,0
